,code,allergen
1563424,8033413731003,en:celery
1563424,8033413731003,en:eggs
1563424,8033413731003,en:gluten
1563424,8033413731003,en:milk
1206436,5000169025031,en:gluten
1206539,5000169040294,en:gluten
1206433,5000169024973,en:gluten
604565,25263541,en:nuts
627069,2699191155927,en:sulphur-dioxide-and-sulphites
604418,25231656,en:nuts
604751,25304220,en:milk
604750,25304213,en:milk
1269291,5391501301112,en:gluten
1269291,5391501301112,en:milk
1269291,5391501301112,en:nuts
1269291,5391501301112,en:peanuts
1269291,5391501301112,en:sulphur-dioxide-and-sulphites
1147506,4104390017238,en:gluten
1061969,3800065718264,en:gluten
1061969,3800065718264,en:milk
1061969,3800065718264,en:soybeans
1146948,4102430017125,en:gluten
508400,20165758,en:sulphur-dioxide-and-sulphites
575872,2325520401594,en:fish
575872,2325520401594,en:herring
311918,0250026026113,en:gluten
692836,3175681104945,en:milk
692836,3175681104945,en:soybeans
1338723,5900820001551,en:milk
1338723,5900820001551,pl:maślanka
1338723,5900820001551,pl:pszenicy
1338723,5900820001551,pl:serwatka
490383,1901246900002,en:gluten
604280,25203202,en:fish
604280,25203202,en:gluten
604280,25203202,en:milk
604280,25203202,en:nuts
604280,25203202,en:peanuts
604280,25203202,en:sesame-seeds
604280,25203202,en:soybeans
665400,3046920022064,en:milk
665400,3046920022064,en:nuts
665400,3046920022064,en:soybeans
1825872,9300633607616,en:sulphur-dioxide-and-sulphites
275261,01888584,en:milk
275261,01888584,en:soybeans
1836783,9416050522910,en:milk
1836783,9416050522910,en:peanuts
481572,11888560,en:milk
481572,11888560,en:soybeans
266712,0099068001609,en:gluten
266712,0099068001609,en:milk
266712,0099068001609,en:soybeans
1246746,5060037431050,en:gluten
1232811,5039265000154,en:gluten
1832652,9336548001706,en:eggs
1832652,9336548001706,en:gluten
1832652,9336548001706,en:milk
1832652,9336548001706,en:soybeans
1801254,8850643026217,en:peanuts
1801254,8850643026217,en:soybeans
1801254,8850643026217,en:coconut
1835447,9400566002042,en:soybeans
1835927,9414342590111,en:milk
1835927,9414342590111,en:buttermilk
1835303,9400550004847,en:gluten
1835680,9403142000890,en:milk
1835680,9403142000890,en:nuts
